order_year,order_month,total_orders,total_revenue,avg_order_value
2016,9,2,279.69,139.845
2016,10,275,48072.3,174.80836363636362
2016,12,1,19.62,19.62
2017,1,775,132961.91,171.56375483870968
2017,2,1707,282234.89,165.3397129466901
2017,3,2614,424815.78,162.51560061208875
2017,4,2363,403624.74,170.81030046550995
2017,5,3624,580161.85,160.08881070640177
2017,6,3194,498558.43,156.09218221665623
2017,7,3939,576699.44,146.40757552678346
2017,8,4252,657706.75,154.6817380056444
2017,9,4210,712940.21,169.3444679334917
2017,10,4531,762169.56,168.21221805340986
2017,11,7386,1167086.94,158.0133956133225
2017,12,5605,859423.48,153.33157537912578
2018,1,7172,1094388.97,152.59188092582264
2018,2,6618,978829.2,147.9040797824116
2018,3,7145,1143486.55,160.04010496850944
2018,4,6905,1154441.87,167.189264301231
2018,5,6809,1138534.5,167.21023645175504
2018,6,6142,1019955.14,166.06238033213936
2018,7,6220,1036069.74,166.57069774919614
2018,8,6398,993910.26,155.3470240700219
2018,9,1,166.46,166.46
